DW_DATE_KEY|DW_BUDGET_SBU_KEY|DW_BUDGET_ITEM_KEY|BUDGET_AMT|ACTUAL_AMT|VARIANCE
20120731|21|1|1362000000|825793470.05|536206529.95
20120731|21|2|272400000|139590622.22|132809377.78
20120731|22|1|1805000000|1443741510.34|361258489.66
20120731|22|2|361000000|3553660.94|357446339.06
20120731|23|1|1074000000|804995895.66|269004104.34
20120731|23|2|214800000|68112.84|214731887.16
20120731|24|1|1477000000|1069891562.97|407108437.03
20120731|24|2|295400000|59088868.63|236311131.37
20120731|25|1|1251000000|596611973.4|654388026.6
20120731|25|2|250200000|3064870.69|247135129.31
20120731|26|1|2196000000|1576028079.81|619971920.19
20120731|26|2|439200000|399148902.43|40051097.57
20120731|27|1|1442000000|382273407.54|1059726592.46
20120731|27|2|288400000|2170447.01|286229552.99
20120731|28|1|2772000000|1770761110.77|1001238889.23
20120731|28|2|554400000|882683975.28|-328283975.28
20120731|29|1|1330000000|754075811.12|575924188.88
20120731|29|2|266000000|16561222.48|249438777.52
20120731|30|1|1195000000|452310541.51|742689458.49
20120731|30|2|239000000|1289289.93|237710710.07
20120731|31|1|3108000000|2632572292.82|475427707.18
20120731|31|2|621600000|3001846.81|618598153.19
20120731|32|1|1775000000|1110053831.1|664946168.9
20121130|18|2|425600000|44284998.21|381315001.79
20120731|32|2|355000000|1481984.51|353518015.49
20120731|33|1|1876000000|639134310.23|1236865689.77
20120731|33|2|375200000|259769154.6|115430845.4
20120731|34|1|1703000000|1091466932.98|611533067.02
20120731|34|2|340600000|1974356.72|338625643.28
20120731|35|1|2948000000|850327283|2097672717
20120731|35|2|589600000|48902688.95|540697311.05
20120731|36|1|5374000000|0|5374000000
20120731|36|2|537400000|0|537400000
20120731|37|1|10746000000|5806804088.2|4939195911.8
20120731|37|2|0|264104.75|-264104.75
20120731|38|1|2164000000|923410971.21|1240589028.79
20120731|38|2|7812040000|935341714.01|6876698285.99
20120731|39|1|1450000000|288574032.61|1161425967.39
20120731|39|2|5234500000|53319622.7|5181180377.3
20120731|40|1|1630000000|621464259.84|1008535740.16
20120731|40|2|5884300000|891903963.08|4992396036.92
20120731|41|1|1293000000|744467282.67|548532717.33
20120731|41|2|4667730000|0|4667730000
20120731|42|1|772000000|77525058.74|694474941.26
20120731|42|2|2786920000|255594640.63|2531325359.37
20120731|43|1|50134000000|28501973551.76|21632026448.24
20120731|43|2|2506700000|4.58|2506699995.42
20120731|44|1|1710000000|591781970.19|1118218029.81
20120731|44|2|427500000|166663152.31|260836847.69
20120731|45|1|1043000000|304315543.63|738684456.37
20120731|45|2|260750000|15061276.56|245688723.44
20120731|46|1|1624000000|485636574.6|1138363425.4
20120731|46|2|406000000|298924323.01|107075676.99
20120731|47|1|1584000000|515611201.31|1068388798.69
20120731|47|2|396000000|61196197.37|334803802.63
20120731|48|1|937000000|489229185.91|447770814.09
20120731|48|2|234250000|415522780.54|-181272780.54
20120731|49|1|1949000000|1221485482.82|727514517.18
20120731|49|2|487250000|95627288.13|391622711.87
20120731|50|1|1216000000|444464318.11|771535681.89
20120731|50|2|304000000|56314285.45|247685714.55
20120731|51|1|783000000|259926063.37|523073936.63
20120731|51|2|195750000|18269787.3|177480212.7
20120731|52|1|1134000000|598058860.99|535941139.01
20120731|52|2|283500000|69737151.59|213762848.41
20120831||1|0|17246972512.93|-17246972512.93
20120831||2|0|5942253605.24|-5942253605.24
20120831|1|1|2403000000|574732781.99|1828267218.01
20120831|1|2|600750000|515022.82|600234977.18
20120831|2|1|1791000000|999249059.47|791750940.53
20120831|2|2|447750000|65798736.57|381951263.43
20120831|3|1|1384000000|676644275.92|707355724.08
20120831|3|2|346000000|5484606.6|340515393.4
20120831|4|1|1188000000|320438982.36|867561017.64
20120831|4|2|297000000|27521838.81|269478161.19
20120831|5|1|1164000000|763925773.37|400074226.63
20120831|5|2|291000000|30032784.52|260967215.48
20120831|6|1|1385000000|597787096.29|787212903.71
20120831|6|2|346250000|6590965.27|339659034.73
20120831|7|1|1365000000|569800155.84|795199844.16
20120831|7|2|273000000|32986360.8|240013639.2
20120831|8|1|2727000000|1444615849.24|1282384150.76
20120831|8|2|545400000|358033477.04|187366522.96
20120831|9|1|1209000000|428316718.74|780683281.26
20120831|9|2|241800000|79670418.19|162129581.81
20120831|10|1|2347000000|1338764436.22|1008235563.78
20120831|10|2|469400000|197100637.16|272299362.84
20120831|11|1|1617000000|1057579498.86|559420501.14
20120831|11|2|323400000|221263391.9|102136608.1
20120831|12|1|1546000000|753933530.22|792066469.78
20120831|12|2|309200000|3883893.41|305316106.59
20120831|13|1|2051000000|675773826.29|1375226173.71
20120831|13|2|410200000|798267036.06|-388067036.06
20120831|14|1|1313000000|503003766.62|809996233.38
20120831|14|2|262600000|1989763.4|260610236.6
20120831|15|1|1744000000|424146748.59|1319853251.41
20120831|15|2|348800000|61207.82|348738792.18
20120831|16|1|2610000000|1746565473.19|863434526.81
20120831|16|2|522000000|9139890.62|512860109.38
20120831|17|1|1519000000|633082882.72|885917117.28
20120831|17|2|303800000|127909.57|303672090.43
20120831|18|1|1738000000|491772010.69|1246227989.31
20120831|18|2|347600000|7729510.94|339870489.06
20120831|19|1|1497000000|316408622.72|1180591377.28
20120831|19|2|299400000|24298817.03|275101182.97
20120831|20|1|1427000000|899352460.19|527647539.81
20120831|20|2|285400000|6396800.86|279003199.14
20120831|21|1|1464000000|651466301.61|812533698.39
20120831|21|2|292800000|201033997.88|91766002.12
20120831|22|1|1861000000|1398410609.09|462589390.91
20120831|22|2|372200000|3366024.68|368833975.32
20120831|23|1|1140000000|639837188.23|500162811.77
20120831|23|2|228000000|579021.91|227420978.09
20120831|24|1|1582000000|1237016148.39|344983851.61
20120831|24|2|337400000|32408247.57|304991752.43
20120831|25|1|1340000000|625923129.88|714076870.12
20120831|25|2|285800000|1465835.84|284334164.16
20120831|26|1|2256000000|1619918720.72|636081279.28
20120831|26|2|463200000|322267090.8|140932909.2
20120831|27|1|1553000000|422785840.11|1130214159.89
20120831|27|2|332800000|376821.52|332423178.48
20120831|28|1|2927000000|1877063031.71|1049936968.29
