DW_DATE_KEY|D_TRANSACTION_TYPE_KEY|DW_ACCOUNT_TYPE_KEY|AMOUNT
20121017|2|88|19723.13
20121017|2|228|435508.92
20121017|5|7|10116203150.23
20121017|2|345|13850
20121017|5|115|314860404.74
20121017|5|293|561950.56
20121017|2|91|9158.07
20121017|2|94|550.16
20121017|2|104|51034506.28
20121017|5|2|73002055
20121017|2|250|110756493.99
20121017|5|85|4962063.67
20121017|5|121|220964317.74
20121017|5|258|1428808819.13
20121017|1|258|1298467124.45
20121017|2|12|78413.29
20121017|1|264|252491200
20121017|5|313|1312371.91
20121017|5|353|500
20121017|6|261|25906813.75
20121017|1|111|62100
20121017|2|282|791.21
20121017|5|307|334425
20121017|5|118|4428617.92
20121017|1|118|2114237.16
20121017|5|283|9158.07
20121017|2||396407848.27
20121017|5|83|260174.46
20121017|5|12|25634.2
20121017|5|23|3050000000
20121017|2|384|345364
20121017|5|79|4283880.65
20121017|1|1|8210458611.8
20121017|5|6|1188272806.84
20121017|5|87|810022.8
20121017|5|14|1723767.65
20121017|2|227|358705253.12
20121017|2|13|35832.96
20121017|2|258|825412829.44
20121017|5|260|13933742918.22
20121017|5|264|714123787.24
20121017|2|333|15710802.89
20121017|6|229|21828615.94
20121017|5|347|38405.19
20121017|5|337|4.11
20121017|1|7|110600000
20121017|1|228|40771.59
20121017|5|330|2188.97
20121017|5|303|3299161.22
20121017|5|288|32.01
20121017|5|247|564.04
20121017|5|126|4290
20121017|2|312|22.5
20121017|2|229|97511839.18
20121017|2|309|312235.72
20121017|2|350|62000
20121017|2|354|761446
20121017|5|354|24148259.34
20121017|5|284|518419.66
20121017|6|8|600308531.01
20121017|5|227|385606259.22
20121017|5|281|4599031
20121017|5|250|41288695.23
20121017|2|14|51812.2
20121017|5|224|598015.97
20121017|2|121|222893310.99
20121017|2|9|3437767.25
20121017|2|377|857500
20121017|5|261|1013345911.43
20121017|2|328|1291226.43
20121017|5|255|381359893.71
20121017|2|6|500443878.87
20121017|5|10|1035000
20121017|2|329|277499.22
20121017|2|253|480000
20121017|4|316|15121.9
20121017|1|2|64911000
20121017|5|8|847054690.28
20121017|5|308|74354
20121017|5|329|815.35
20121017|4|7|180000000
20121017|5|312|43287.46
20121017|5|321|11297.68
20121017|5|106|126628.08
20121017|5|381|1364944.71
20121017|2|111|18347415.79
20121017|2|8|2062041975.99
20121017|2|1|97176912.34
20121017|5|228|996416.11
20121017|5|282|7422645.13
20121017|2|224|3034355.67
20121017|2|115|338114512.27
20121017|5|124|61676905.92
20121017|2|124|61407581.2
20121017|2|347|877968.19
20121017|2|255|10233034.78
20121017|3|255|275496676.16
20121017|6|6|2150450
20121017|2|260|13926880857.44
20121017|2|236|10400839.92
20121017|2|281|9551.58
20121017|2|234|1709.35
20121017|5|328|1105.96
20121017|3|8|6726810.8
20121017|5|311|252986.08
20121017|2|237|4.12
20121017|3|115|20000
20121017|5|1|78163855
20121017|6|260|1704875.78
20121017|5|122|1197600.85
20121017|2|106|561950.56
20121017|2|93|32.01
20121017|2|338|4.14
20121017|2|332|564.04
20121017|4|126|46550
20121017|2|23|1052500000
20121017|4|229|6366131.48
20121017|5|229|180582077.22
20121017|2|355|95906
20121017|2|356|301325
20121017|3|6|275829063.99
20121017|2|87|518419.66
20121017|5|286|1254098.36
20121017|2|85|7363545.9
20121017|5|13|15050
20121017|2|358|2894782.5
20121017|6|258|324162
20121017|2|264|864061107.16
20121017|2|330|953059.96
20121017|4|2|5746500
20121017|2|235|5779.37
20121017|2|79|28234.82
20121017|2|200|163.51
20121017|1|260|50100
20121017|5|314|162600
20121017|2|122|2090972
20121017|5|291|4640.38
20121017|2|105|3559335.68
20121017|5|120|14369498.83
20121017|5|104|46169605.91
20121017|2|18|3400000000
20121017|5|18|2800000000
20121017|5|125|10444726769.42
20121018|5|309|1122173.8
20121018|2|336|181147.54
20121018|2|2|5241000
20121018|5|228|3109871.42
20121018|2|281|4455.57
20121018|5|250|80169610.38
20121018|5|294|35547271.05
20121018|5|261|1237029550.84
20121018|2|115|338388599.51
20121018|2|333|18787393.28
20121018|2|260|12615813304.21
20121018|3|255|309821719.93
20121018|5|224|205900
20121018|1|258|599112413.81
20121018|5|239|181147.54
20121018|5|333|2154935.13
20121018|2|88|19723.09
20121018|2|97|952185.79
20121018|5|97|1254098.36
20121018|5|229|48163605.77
20121018|5|8|1113077016.32
20121018|2|228|99169.55
20121018|5|356|10000
20121018|5|200|163.51
20121018|2|345|7887.5
20121018|2|91|9158.06
20121018|5|293|568724.57
20121018|5|283|9158.06
20121018|2|105|3559335.67
20121018|2|122|1486412
20121018|2|6|1136150921.99
20121018|2|87|518407.49
20121018|5|292|582.26
20121018|5|235|128562.39
20121018|2|236|12833310.43
20121018|2|362|1592278.91
